,date,time,open,high,low,close
8763,21-12-02,18:42:15,113.172,113.174,113.172,113.174
8764,21-12-02,18:42:20,113.174,113.174,113.172,113.172
8765,21-12-02,18:42:25,113.172,113.172,113.164,113.172
8766,21-12-02,18:42:30,113.172,113.174,113.17,113.172
8767,21-12-02,18:42:35,113.172,113.174,113.172,113.174
8768,21-12-02,18:42:40,113.174,113.176,113.174,113.175
8769,21-12-02,18:42:45,113.175,113.176,113.174,113.174
8770,21-12-02,18:42:50,113.174,113.174,113.172,113.172
8771,21-12-02,18:42:55,113.172,113.174,113.172,113.173
8772,21-12-02,18:43:00,113.173,113.176,113.173,113.176
8773,21-12-02,18:43:05,113.176,113.176,113.172,113.172
8774,21-12-02,18:43:10,113.172,113.174,113.17,113.174
8775,21-12-02,18:43:15,113.174,113.174,113.172,113.172
8776,21-12-02,18:43:20,113.172,113.172,113.171,113.171
8777,21-12-02,18:43:25,113.171,113.172,113.17,113.172
8778,21-12-02,18:43:30,113.172,113.172,113.17,113.172
8779,21-12-02,18:43:35,113.172,113.173,113.171,113.173
8780,21-12-02,18:43:40,113.173,113.173,113.172,113.172
8781,21-12-02,18:43:45,113.172,113.172,113.17,113.172
8782,21-12-02,18:43:50,113.172,113.173,113.17,113.173
8783,21-12-02,18:43:55,113.173,113.174,113.172,113.172
8784,21-12-02,18:44:00,113.172,113.172,113.167,113.17
8785,21-12-02,18:44:05,113.17,113.17,113.169,113.169
8786,21-12-02,18:44:10,113.169,113.172,113.169,113.169
8787,21-12-02,18:44:15,113.169,113.17,113.168,113.168
8788,21-12-02,18:44:20,113.168,113.168,113.162,113.164
8789,21-12-02,18:44:25,113.164,113.168,113.164,113.168
8790,21-12-02,18:44:30,113.168,113.168,113.166,113.166
8791,21-12-02,18:44:35,113.166,113.167,113.166,113.167
8792,21-12-02,18:44:40,113.167,113.167,113.166,113.167
8793,21-12-02,18:44:45,113.167,113.179,113.167,113.179
8794,21-12-02,18:44:50,113.179,113.18,113.177,113.18
8795,21-12-02,18:44:55,113.18,113.188,113.18,113.188
8796,21-12-02,18:45:00,113.188,113.191,113.186,113.186
8797,21-12-02,18:45:05,113.186,113.188,113.186,113.188
8798,21-12-02,18:45:10,113.188,113.19,113.188,113.19
8799,21-12-02,18:45:15,113.19,113.19,113.186,113.188
8800,21-12-02,18:45:20,113.188,113.188,113.188,113.188
8801,21-12-02,18:45:25,113.188,113.188,113.186,113.186
8802,21-12-02,18:45:30,113.186,113.186,113.182,113.182
8803,21-12-02,18:45:35,113.182,113.182,113.181,113.182
8804,21-12-02,18:45:40,113.182,113.182,113.18,113.18
8805,21-12-02,18:45:45,113.18,113.18,113.175,113.175
8806,21-12-02,18:45:50,113.175,113.176,113.174,113.174
8807,21-12-02,18:45:55,113.174,113.174,113.173,113.173
8808,21-12-02,18:46:00,113.173,113.173,113.168,113.168
8809,21-12-02,18:46:05,113.168,113.168,113.167,113.167
8810,21-12-02,18:46:10,113.167,113.168,113.167,113.168
8811,21-12-02,18:46:15,113.168,113.17,113.167,113.167
8812,21-12-02,18:46:20,113.167,113.168,113.166,113.166
8813,21-12-02,18:46:25,113.166,113.168,113.166,113.168
8814,21-12-02,18:46:30,113.168,113.17,113.168,113.168
8815,21-12-02,18:46:35,113.168,113.17,113.167,113.17
8816,21-12-02,18:46:40,113.17,113.17,113.168,113.168
8817,21-12-02,18:46:45,113.168,113.168,113.163,113.164
8818,21-12-02,18:46:50,113.164,113.164,113.162,113.164
8819,21-12-02,18:46:55,113.164,113.164,113.161,113.161
8820,21-12-02,18:47:00,113.161,113.161,113.156,113.157
8821,21-12-02,18:47:05,113.157,113.157,113.156,113.157
8822,21-12-02,18:47:10,113.157,113.158,113.156,113.158
8823,21-12-02,18:47:15,113.158,113.161,113.157,113.157
8824,21-12-02,18:47:20,113.157,113.157,113.154,113.154
8825,21-12-02,18:47:25,113.154,113.154,113.152,113.152
8826,21-12-02,18:47:30,113.152,113.152,113.151,113.151
8827,21-12-02,18:47:35,113.151,113.151,113.142,113.146
8828,21-12-02,18:47:40,113.146,113.146,113.136,113.138
8829,21-12-02,18:47:45,113.138,113.143,113.136,113.142
8830,21-12-02,18:47:50,113.142,113.144,113.142,113.143
8831,21-12-02,18:47:55,113.143,113.144,113.141,113.144
8832,21-12-02,18:48:00,113.144,113.148,113.144,113.147
8833,21-12-02,18:48:05,113.147,113.148,113.147,113.148
8834,21-12-02,18:48:10,113.148,113.16,113.148,113.155
8835,21-12-02,18:48:15,113.155,113.155,113.148,113.148
8836,21-12-02,18:48:20,113.148,113.154,113.148,113.154
8837,21-12-02,18:48:25,113.154,113.154,113.15,113.152
8838,21-12-02,18:48:30,113.152,113.158,113.15,113.154
8839,21-12-02,18:48:35,113.154,113.154,113.153,113.153
8840,21-12-02,18:48:40,113.153,113.153,113.144,113.147
8841,21-12-02,18:48:45,113.147,113.148,113.147,113.148
8842,21-12-02,18:48:50,113.148,113.154,113.148,113.154
8843,21-12-02,18:48:55,113.154,113.154,113.15,113.15
8844,21-12-02,18:49:00,113.15,113.15,113.148,113.148
8845,21-12-02,18:49:05,113.148,113.149,113.148,113.148
8846,21-12-02,18:49:10,113.148,113.148,113.146,113.146
8847,21-12-02,18:49:15,113.146,113.146,113.144,113.144
8848,21-12-02,18:49:20,113.144,113.146,113.144,113.146
8849,21-12-02,18:49:25,113.146,113.146,113.142,113.142
8850,21-12-02,18:49:30,113.142,113.146,113.142,113.146
8851,21-12-02,18:49:35,113.146,113.146,113.14,113.14
8852,21-12-02,18:49:40,113.14,113.14,113.136,113.138
8853,21-12-02,18:49:45,113.138,113.138,113.136,113.138
8854,21-12-02,18:49:50,113.138,113.151,113.138,113.15
8855,21-12-02,18:49:55,113.15,113.151,113.148,113.15
8856,21-12-02,18:50:00,113.15,113.15,113.148,113.149
8857,21-12-02,18:50:05,113.149,113.154,113.148,113.148
8858,21-12-02,18:50:10,113.148,113.148,113.144,113.148
8859,21-12-02,18:50:15,113.148,113.148,113.136,113.136
8860,21-12-02,18:50:20,113.136,113.138,113.134,113.138
8861,21-12-02,18:50:25,113.138,113.142,113.136,113.138
8862,21-12-02,18:50:30,113.138,113.14,113.136,113.136
8863,21-12-02,18:50:35,113.136,113.139,113.136,113.137
8864,21-12-02,18:50:40,113.137,113.138,113.136,113.136
8865,21-12-02,18:50:45,113.136,113.136,113.132,113.134
8866,21-12-02,18:50:50,113.134,113.135,113.134,113.135
8867,21-12-02,18:50:55,113.135,113.136,113.128,113.13
8868,21-12-02,18:51:00,113.13,113.136,113.13,113.136
8869,21-12-02,18:51:05,113.136,113.136,113.132,113.133
8870,21-12-02,18:51:10,113.133,113.135,113.133,113.133
8871,21-12-02,18:51:15,113.133,113.133,113.128,113.13
8872,21-12-02,18:51:20,113.13,113.131,113.129,113.131
8873,21-12-02,18:51:25,113.131,113.132,113.128,113.128
8874,21-12-02,18:51:30,113.128,113.13,113.128,113.13
8875,21-12-02,18:51:35,113.13,113.13,113.128,113.128
8876,21-12-02,18:51:40,113.128,113.134,113.128,113.133
8877,21-12-02,18:51:45,113.133,113.134,113.132,113.133
8878,21-12-02,18:51:50,113.133,113.134,113.13,113.13
8879,21-12-02,18:51:55,113.13,113.138,113.13,113.138
8880,21-12-02,18:52:00,113.138,113.138,113.137,113.138
8881,21-12-02,18:52:05,113.138,113.14,113.138,113.14
8882,21-12-02,18:52:10,113.14,113.143,113.138,113.142
8883,21-12-02,18:52:15,113.142,113.144,113.142,113.144
8884,21-12-02,18:52:20,113.144,113.145,113.144,113.145
8885,21-12-02,18:52:25,113.145,113.148,113.145,113.146
8886,21-12-02,18:52:30,113.146,113.148,113.144,113.144
8887,21-12-02,18:52:35,113.144,113.148,113.144,113.144
8888,21-12-02,18:52:40,113.144,113.144,113.143,113.143
8889,21-12-02,18:52:45,113.143,113.144,113.143,113.144
8890,21-12-02,18:52:50,113.144,113.15,113.144,113.15
8891,21-12-02,18:52:55,113.15,113.152,113.149,113.149
8892,21-12-02,18:53:00,113.149,113.149,113.147,113.147
8893,21-12-02,18:53:05,113.147,113.148,113.147,113.148
8894,21-12-02,18:53:10,113.148,113.149,113.148,113.149
8895,21-12-02,18:53:15,113.149,113.149,113.143,113.143
8896,21-12-02,18:53:20,113.143,113.144,113.143,113.143
8897,21-12-02,18:53:25,113.143,113.144,113.143,113.144
8898,21-12-02,18:53:30,113.144,113.144,113.143,113.144
8899,21-12-02,18:53:35,113.144,113.144,113.142,113.143
8900,21-12-02,18:53:40,113.143,113.143,113.138,113.138
8901,21-12-02,18:53:45,113.138,113.138,113.132,113.134
8902,21-12-02,18:53:50,113.134,113.134,113.134,113.134
8903,21-12-02,18:53:55,113.134,113.136,113.132,113.136
8904,21-12-02,18:54:00,113.136,113.136,113.132,113.136
8905,21-12-02,18:54:05,113.136,113.136,113.134,113.134
8906,21-12-02,18:54:10,113.134,113.143,113.134,113.142
8907,21-12-02,18:54:15,113.142,113.142,113.138,113.14
8908,21-12-02,18:54:20,113.14,113.141,113.14,113.141
8909,21-12-02,18:54:25,113.141,113.141,113.138,113.138
8910,21-12-02,18:54:30,113.138,113.138,113.136,113.136
